"URDHIBLC.Code.or.Value","URDHIBLC.Value.Description","URDHIBLC.Count","URDHIBLC.Cumulative","URDHIBLC.Skip.to.Item"
"0","At or above the detection limit",2627,2627,NA
"1","Below lower detection limit",135,2762,NA
".","Missing",224,2986,NA
