"WBXA036.Code.or.Value","WBXA036.Value.Description","WBXA036.Count","WBXA036.Cumulative","WBXA036.Skip.to.Item"
"-9.3193 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
