"CBD640.Code.or.Value","CBD640.Value.Description","CBD640.Count","CBD640.Cumulative","CBD640.Skip.to.Item"
"0 to 203","Range of Values",3117,3117,NA
"66666666","Don't know what is 'whole grain'",71,3188,NA
"77777777","Refused",0,3188,NA
"99999999","Don't know",660,3848,NA
".","Missing",2551,6399,NA
