"CIQGPA.Code.or.Value","CIQGPA.Value.Description","CIQGPA.Count","CIQGPA.Cumulative","CIQGPA.Skip.to.Item"
"1","Yes",4,4,"CIQGPD"
"2","No",45,49,""
"7","Refused",0,49,""
"9","Don't know",0,49,""
".","Missing",801,850,""
