"BPQ150C.Code.or.Value","BPQ150C.Value.Description","BPQ150C.Count","BPQ150C.Cumulative","BPQ150C.Skip.to.Item"
"1","Yes",50,50,NA
"2","No",7010,7060,NA
".","Missing",2278,9338,NA
