"SSQ021G.Code.or.Value","SSQ021G.Value.Description","SSQ021G.Count","SSQ021G.Cumulative","SSQ021G.Skip.to.Item"
"16","Neighbors",64,64,NA
".","Missing",3961,4025,NA
