"ARQ023GD.Code.or.Value","ARQ023GD.Value.Description","ARQ023GD.Count","ARQ023GD.Cumulative","ARQ023GD.Skip.to.Item"
"1","ENTER AGE IN YEARS",121,121,NA
"3","HAD LESS THAN 1 YEAR AGO BUT NOT NOW",20,141,NA
"7","Refused",0,141,NA
"9","Don't know",3,144,NA
".","Missing",4962,5106,NA
