"DEX2PSCF.Code.or.Value","DEX2PSCF.Value.Description","DEX2PSCF.Count","DEX2PSCF.Cumulative","DEX2PSCF.Skip.to.Item"
"1","High",10,10,NA
"2","Moderate",14,24,NA
"3","Low",43,67,NA
"9","Not determined, picture missing",0,67,NA
".","Missing",2925,2992,NA
