"LBDSZNSI.Code.or.Value","LBDSZNSI.Value.Description","LBDSZNSI.Count","LBDSZNSI.Cumulative","LBDSZNSI.Skip.to.Item"
"4.8 to 23.06","Range of Values",2436,2436,NA
".","Missing",256,2692,NA
