"LBXF02.Code.or.Value","LBXF02.Value.Description","LBXF02.Count","LBXF02.Cumulative","LBXF02.Skip.to.Item"
"5.37 to 132.7","Range of Values",1867,1867,NA
".","Missing",418,2285,NA
