"ALQ100.Code.or.Value","ALQ100.Value.Description","ALQ100.Count","ALQ100.Cumulative","ALQ100.Skip.to.Item"
"1","Yes",2753,2753,"ALQ120Q"
"2","No",1405,4158,""
"7","Refused",0,4158,""
"9","Don't know",3,4161,""
".","Missing",283,4444,""
