"MCQ053.Code.or.Value","MCQ053.Value.Description","MCQ053.Count","MCQ053.Cumulative","MCQ053.Skip.to.Item"
"1","Yes",339,339,NA
"2","No",8543,8882,NA
"7","Refused",1,8883,NA
"9","Don't know",14,8897,NA
".","Missing",0,8897,NA
