"RIDRETH2.Code.or.Value","RIDRETH2.Value.Description","RIDRETH2.Count","RIDRETH2.Cumulative","RIDRETH2.Skip.to.Item"
"1","Non-Hispanic White",4182,4182,NA
"2","Non-Hispanic Black",2746,6928,NA
"3","Mexican American",2519,9447,NA
"4","Other Race - Including Multi-Racial",334,9781,NA
"5","Other Hispanic",341,10122,NA
".","Missing",0,10122,NA
