"WTSHM23.Code.or.Value","WTSHM23.Value.Description","WTSHM23.Count","WTSHM23.Cumulative","WTSHM23.Skip.to.Item"
"0.0000000 to 738408.7636400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
