"WTSPO01.Code.or.Value","WTSPO01.Value.Description","WTSPO01.Count","WTSPO01.Cumulative","WTSPO01.Skip.to.Item"
"0.0000000 to 855755.9720600","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
