"SDBPFOAL.Code.or.Value","SDBPFOAL.Value.Description","SDBPFOAL.Count","SDBPFOAL.Cumulative","SDBPFOAL.Skip.to.Item"
"0","At or above the detection limit",366,366,NA
"1","Below lower detection limit",1588,1954,NA
".","Missing",0,1954,NA
