"LBDFERSI.Code.or.Value","LBDFERSI.Value.Description","LBDFERSI.Count","LBDFERSI.Cumulative","LBDFERSI.Skip.to.Item"
"1.04 to 5190","Range of Values",6589,6589,NA
".","Missing",743,7332,NA
