"DXXPT60X.Code.or.Value","DXXPT60X.Value.Description","DXXPT60X.Count","DXXPT60X.Cumulative","DXXPT60X.Skip.to.Item"
"662.2 to 1203.3","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
