"DIQ275.Code.or.Value","DIQ275.Value.Description","DIQ275.Count","DIQ275.Cumulative","DIQ275.Skip.to.Item"
"1","Yes",749,749,""
"2","No",107,856,"DIQ295"
"7","Refused",0,856,"DIQ295"
"9","Don't know",36,892,"DIQ295"
".","Missing",8005,8897,""
