"URXCNP.Code.or.Value","URXCNP.Value.Description","URXCNP.Count","URXCNP.Cumulative","URXCNP.Skip.to.Item"
"0.14 to 123.5","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
