"BIXS177K.Code.or.Value","BIXS177K.Value.Description","BIXS177K.Count","BIXS177K.Cumulative","BIXS177K.Skip.to.Item"
"90.28 to 864.39","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
