"LBCBHCLA.Code.or.Value","LBCBHCLA.Value.Description","LBCBHCLA.Count","LBCBHCLA.Cumulative","LBCBHCLA.Skip.to.Item"
"0.5515 to 219.1","Range of Values",265,265,NA
".","Missing",0,265,NA
