"LBDZTILC.Code.or.Value","LBDZTILC.Value.Description","LBDZTILC.Count","LBDZTILC.Cumulative","LBDZTILC.Skip.to.Item"
"0","Result at or above the limit of detection.",160,160,NA
"1","Result below the limit of detection.",484,644,NA
".","Missing",207,851,NA
