"URDUCRLC.Code.or.Value","URDUCRLC.Value.Description","URDUCRLC.Count","URDUCRLC.Cumulative","URDUCRLC.Skip.to.Item"
"0","At or above the detection limit",7631,7631,NA
"1","Below lower detection limit",1,7632,NA
".","Missing",304,7936,NA
