"WTMREP51.Code.or.Value","WTMREP51.Value.Description","WTMREP51.Count","WTMREP51.Cumulative","WTMREP51.Skip.to.Item"
"0 to 259613.17584","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
