"SMQ852Q.Code.or.Value","SMQ852Q.Value.Description","SMQ852Q.Count","SMQ852Q.Cumulative","SMQ852Q.Skip.to.Item"
"1 to 364","Range of Values",516,516,NA
"0","Less than one day",3,519,NA
"7777","Refused",0,519,NA
"9999","Don't know",3,522,NA
".","Missing",6202,6724,NA
