"AUXRR279.Code.or.Value","AUXRR279.Value.Description","AUXRR279.Count","AUXRR279.Cumulative","AUXRR279.Skip.to.Item"
"-22 to 67","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
