"URXNAB.Code.or.Value","URXNAB.Value.Description","URXNAB.Count","URXNAB.Cumulative","URXNAB.Skip.to.Item"
"0.0011 to 31","Range of Values",7923,7923,NA
".","Missing",368,8291,NA
