"WTSPO38.Code.or.Value","WTSPO38.Value.Description","WTSPO38.Count","WTSPO38.Cumulative","WTSPO38.Skip.to.Item"
"0.0000000 to 843109.2895900","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
