"MPQ120N.Code.or.Value","MPQ120N.Value.Description","MPQ120N.Count","MPQ120N.Cumulative","MPQ120N.Skip.to.Item"
"23","Lower back - left",397,397,NA
".","Missing",4644,5041,NA
