"LBXDFS.Code.or.Value","LBXDFS.Value.Description","LBXDFS.Count","LBXDFS.Cumulative","LBXDFS.Skip.to.Item"
"0.11 to 8.5","Range of Values",1123,1123,NA
".","Missing",144,1267,NA
