"AUDTYR56.Code.or.Value","AUDTYR56.Value.Description","AUDTYR56.Count","AUDTYR56.Cumulative","AUDTYR56.Skip.to.Item"
"0 to 4.38","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
