"WTSPP21.Code.or.Value","WTSPP21.Value.Description","WTSPP21.Count","WTSPP21.Cumulative","WTSPP21.Skip.to.Item"
"0 to 814446.60466","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
