"DEX2COMM.Code.or.Value","DEX2COMM.Value.Description","DEX2COMM.Count","DEX2COMM.Cumulative","DEX2COMM.Skip.to.Item"
"Reader 2 comment","Value was recorded",130,130,NA
"< blank >","Missing",2862,2992,NA
