"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"18 to 357","Range of Values",2808,2808,NA
".","Missing",228,3036,NA
