"WTSHM46.Code.or.Value","WTSHM46.Value.Description","WTSHM46.Count","WTSHM46.Cumulative","WTSHM46.Skip.to.Item"
"0.0000000 to 764672.6226000","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
