"URDCOTLC.Code.or.Value","URDCOTLC.Value.Description","URDCOTLC.Count","URDCOTLC.Cumulative","URDCOTLC.Skip.to.Item"
"0","At or above detection limit",2577,2577,NA
"1","Below lower detection limit",108,2685,NA
".","Missing",294,2979,NA
