"SSII4FC1.Code.or.Value","SSII4FC1.Value.Description","SSII4FC1.Count","SSII4FC1.Cumulative","SSII4FC1.Skip.to.Item"
"0 to 100000","Range of Values",993,993,NA
".","Missing",43,1036,NA
