"BIDFAT.Code.or.Value","BIDFAT.Value.Description","BIDFAT.Count","BIDFAT.Cumulative","BIDFAT.Skip.to.Item"
"1.3 to 78.3","Range of Values",4159,4159,NA
".","Missing",1170,5329,NA
