"WTIREP36.Code.or.Value","WTIREP36.Value.Description","WTIREP36.Count","WTIREP36.Cumulative","WTIREP36.Skip.to.Item"
"0 to 238207.79281","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
