"CIQP29.Code.or.Value","CIQP29.Value.Description","CIQP29.Count","CIQP29.Cumulative","CIQP29.Skip.to.Item"
"13 to 27","Range of Values",7,7,NA
"77","Refused",0,7,NA
"99","Don't know",3,10,NA
".","Missing",840,850,NA
