"DXXGPFAT.Code.or.Value","DXXGPFAT.Value.Description","DXXGPFAT.Count","DXXGPFAT.Cumulative","DXXGPFAT.Skip.to.Item"
"11.4 to 61.9","Range of Values",4059,4059,NA
".","Missing",1055,5114,NA
