"RFXC100.Code.or.Value","RFXC100.Value.Description","RFXC100.Count","RFXC100.Cumulative","RFXC100.Skip.to.Item"
"-6.78 to 4.841","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
