"CIQD075.Code.or.Value","CIQD075.Value.Description","CIQD075.Count","CIQD075.Cumulative","CIQD075.Skip.to.Item"
"7 to 30","Range of Values",8,8,NA
"7777","Refuse",0,8,NA
"9999","Don't know",0,8,NA
".","Missing",842,850,NA
