"LBXBR2LA.Code.or.Value","LBXBR2LA.Value.Description","LBXBR2LA.Count","LBXBR2LA.Cumulative","LBXBR2LA.Skip.to.Item"
"0.1 to 65.2","Range of Values",1987,1987,NA
".","Missing",350,2337,NA
