"WBXP008.Code.or.Value","WBXP008.Value.Description","WBXP008.Count","WBXP008.Cumulative","WBXP008.Skip.to.Item"
"-43.3472 to 178.2919","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
