"WBXA052.Code.or.Value","WBXA052.Value.Description","WBXA052.Count","WBXA052.Cumulative","WBXA052.Skip.to.Item"
"-23.8561 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
