"LBD099LC.Code.or.Value","LBD099LC.Value.Description","LBD099LC.Count","LBD099LC.Cumulative","LBD099LC.Skip.to.Item"
"0","At or above the detection limit",265,265,NA
"1","Below lower detection limit",0,265,NA
".","Missing",0,265,NA
