"DXXOSA.Code.or.Value","DXXOSA.Value.Description","DXXOSA.Count","DXXOSA.Cumulative","DXXOSA.Skip.to.Item"
"15.56 to 91.61","Range of Values",1274,1274,NA
".","Missing",1624,2898,NA
