"SPXBFEV7.Code.or.Value","SPXBFEV7.Value.Description","SPXBFEV7.Count","SPXBFEV7.Cumulative","SPXBFEV7.Skip.to.Item"
"677 to 4864","Range of Values",457,457,NA
".","Missing",7038,7495,NA
