"DIQ040Q.Code.or.Value","DIQ040Q.Value.Description","DIQ040Q.Count","DIQ040Q.Cumulative","DIQ040Q.Skip.to.Item"
"1 to 84","Range of Values",472,472,NA
"77777","Refused",0,472,NA
"99999","Don't know",3,475,NA
".","Missing",9018,9493,NA
