"WTSPH42.Code.or.Value","WTSPH42.Value.Description","WTSPH42.Count","WTSPH42.Cumulative","WTSPH42.Skip.to.Item"
"0 to 785193.45114","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
