"SSCamIgM.Code.or.Value","SSCamIgM.Value.Description","SSCamIgM.Count","SSCamIgM.Cumulative","SSCamIgM.Skip.to.Item"
"0 to 1.992","Range of Values",1112,1112,NA
".","Missing",15,1127,NA
