"DBQ400.Code.or.Value","DBQ400.Value.Description","DBQ400.Count","DBQ400.Cumulative","DBQ400.Skip.to.Item"
"1","Yes",1949,1949,""
"2","No",227,2176,"DBQ422"
"7","Refused",0,2176,"DBQ422"
"9","Don't know",23,2199,"DBQ422"
".","Missing",7055,9254,""
