"LB2BAP.Code.or.Value","LB2BAP.Value.Description","LB2BAP.Count","LB2BAP.Cumulative","LB2BAP.Skip.to.Item"
"5.2 to 92.6","Range of Values",545,545,NA
".","Missing",12,557,NA
