"DEQ036.Code.or.Value","DEQ036.Value.Description","DEQ036.Count","DEQ036.Cumulative","DEQ036.Skip.to.Item"
"1 to 50","Range of Values",1648,1648,NA
"7777","Refused",0,1648,NA
"9999","Don't know",122,1770,NA
".","Missing",1639,3409,NA
