"RDQ120.Code.or.Value","RDQ120.Value.Description","RDQ120.Count","RDQ120.Cumulative","RDQ120.Skip.to.Item"
"0 to 30","Range of Values",847,847,NA
"7777","Refused",0,847,NA
"9999","Don't know",1,848,NA
".","Missing",8645,9493,NA
