"RIDRETH3.Code.or.Value","RIDRETH3.Value.Description","RIDRETH3.Count","RIDRETH3.Cumulative","RIDRETH3.Skip.to.Item"
"1","Mexican American",1367,1367,NA
"2","Other Hispanic",820,2187,NA
"3","Non-Hispanic White",3150,5337,NA
"4","Non-Hispanic Black",2115,7452,NA
"6","Non-Hispanic Asian",1168,8620,NA
"7","Other Race - Including Multi-Racial",634,9254,NA
".","Missing",0,9254,NA
