"TYXA135.Code.or.Value","TYXA135.Value.Description","TYXA135.Count","TYXA135.Cumulative","TYXA135.Skip.to.Item"
"0.09 to 6.368","Range of Values",4683,4683,NA
".","Missing",902,5585,NA
