"SSDFSS.Code.or.Value","SSDFSS.Value.Description","SSDFSS.Count","SSDFSS.Cumulative","SSDFSS.Skip.to.Item"
"1 to 3","Range of Values",182,182,NA
".","Missing",0,182,NA
