"OPDSSFS.Code.or.Value","OPDSSFS.Value.Description","OPDSSFS.Count","OPDSSFS.Cumulative","OPDSSFS.Skip.to.Item"
"0","No",3096,3096,NA
"1","Yes",6,3102,NA
".","Missing",761,3863,NA
