"LBDDP3LC.Code.or.Value","LBDDP3LC.Value.Description","LBDDP3LC.Count","LBDDP3LC.Cumulative","LBDDP3LC.Skip.to.Item"
"0","At or above the detection limit",4305,4305,NA
"1","Below lower detection limit",0,4305,NA
".","Missing",1338,5643,NA
