"DX2STA.Code.or.Value","DX2STA.Value.Description","DX2STA.Count","DX2STA.Cumulative","DX2STA.Skip.to.Item"
"1270.2 to 2502.51","Range of Values",414,414,NA
".","Missing",71,485,NA
