"LBX187.Code.or.Value","LBX187.Value.Description","LBX187.Count","LBX187.Cumulative","LBX187.Skip.to.Item"
"0.0004 to 1.1938","Range of Values",1889,1889,NA
".","Missing",396,2285,NA
